household_id,district,latitude,longitude,distribution_date,household_size,baseline_fuel_kg_person_week,distance_to_market_km,elevation_m,usage_month_1,usage_month_2,usage_month_3,usage_month_4,usage_month_5,usage_month_6,avg_usage,fuel_reduction_pct,is_at_risk
HH-02216,Musanze,-1.470711,29.595319,2023-11-04,4.0,8.2,6.6,2084,13.5,13.2,13.6,12.7,16.4,11.1,13.416666666666666,-0.6361788617886179,1
HH-02583,Burera,-1.452974,29.765346,2024-01-21,5.0,12.4,7.9,2003,28.9,27.053943298969074,34.9,29.8,33.3,26.7,30.108990549828178,-1.4281443991796918,1
HH-01663,Gakenke,-1.652503,29.764647,2024-03-30,7.0,9.5,8.4,1956,55.2,58.3,58.5,46.8,57.3,54.0,55.01666666666667,-4.791228070175439,1
HH-03028,Burera,-1.434321,29.739065,2023-04-18,5.0,9.6,3.2,1866,51.9,38.2,45.7,44.6,48.5,37.2,44.35,-3.619791666666667,1
HH-04344,Rulindo,-1.799681,29.958393,2024-02-10,5.0,10.9,0.7,1887,26.8,26.0,26.5,22.4,26.6,17.9,24.366666666666664,-1.2354740061162075,1
HH-02681,Musanze,-1.540433,29.584909,2024-05-29,5.0,6.3,1.0,1773,12.9,17.0,12.3,13.2,12.9,13.1,13.566666666666668,-1.1534391534391537,1
HH-01766,Musanze,-1.503727,29.579738,2023-04-19,4.0,10.4,1.8,1685,19.5,21.1,15.3,17.8,20.1,18.6,18.733333333333334,-0.8012820512820513,1
HH-01124,Rulindo,-1.763794,30.004087,2024-01-08,5.0,9.8,1.4,1793,24.0,21.4,19.9,27.3,24.5,17.9,22.5,-1.2959183673469385,1
HH-04055,Rulindo,-1.781965,29.993126,2023-09-30,5.0,8.8,7.7,2192,40.1,41.9,43.6,40.1,34.8,38.1,39.766666666666666,-3.5189393939393936,1
HH-03762,Rulindo,-1.790846,30.050877,2024-02-19,2.0,9.6,4.3,1595,15.3,17.2,16.5,15.7,17.2,16.7,16.433333333333334,-0.7118055555555557,1
HH-01536,Nyabihu,-1.598141,29.497657,2024-01-26,6.0,12.0,10.8,2205,57.9,60.5,68.8,55.8,73.4,68.6,64.16666666666667,-4.347222222222222,1
HH-02945,Rulindo,-1.708209,30.067153,2024-05-25,4.0,8.4,1.4,1682,14.1,13.5,15.2,14.5,17.1,16.3,15.116666666666667,-0.7996031746031745,1
HH-02988,Burera,-1.433456,29.835506,2023-03-08,4.0,6.9,1.5,2053,28.3,21.7,26.4,25.6,24.7,24.7,25.233333333333334,-2.6570048309178746,1
HH-04292,Nyabihu,-1.639748,29.512431,2023-05-07,3.0,12.8,3.6,2509,18.1,21.9,17.6,18.4,15.0,13.3,17.383333333333333,-0.3580729166666666,1
HH-04343,Rulindo,-1.738876,29.981064,2023-01-17,6.0,6.6,3.4,1837,21.8,20.4,20.6,15.5,26.663943298969073,18.6,20.59399054982818,-2.1203015984588154,1
HH-04425,Musanze,-1.738876,29.981064,2023-10-28,7.0,11.1,2.1,1704,55.5,62.1,65.8,61.1,74.5,82.0,66.83333333333333,-5.021021021021021,1
HH-07942,Burera,-1.453522,29.705235,2023-06-03,8.0,9.7,4.4,1745,62.0,68.0,61.4,26.805824742268044,83.9,68.9,61.83430412371134,-5.374670528217665,1
HH-04998,Musanze,-1.45133,29.614929,2023-01-27,5.0,6.1,3.9,1800,32.1,24.9,26.5,25.1,26.5,30.3,27.566666666666666,-3.5191256830601096,1
HH-02749,Rulindo,-1.77222,29.982423,2023-09-16,5.0,10.4,3.8,1817,22.5,22.3,23.2,26.5,20.0,28.2,23.78333333333333,-1.286858974358974,1
HH-02303,Burera,-1.409374,29.715698,2024-06-23,4.0,9.29974689951911,2.5,1945,25.9,24.7,25.2,25.3,24.7,28.5,25.71666666666667,-1.7653082330656198,1
HH-03933,Burera,-1.40039,29.81043,2023-02-20,3.0,7.6,0.9,1880,12.8,9.0,8.4,12.8,10.1,9.6,10.450000000000001,-0.3750000000000002,1
HH-05957,Musanze,-1.454169,29.599923,2024-06-07,4.0,9.8,0.7,1985,35.7,34.3,33.5,38.6,33.7,28.9,34.11666666666667,-2.4812925170068025,1
HH-06132,Rulindo,-1.703627,30.014902,2023-07-17,5.0,6.3,4.7,1717,29.8,25.5,24.6,26.7,26.8,23.8,26.200000000000003,-3.158730158730159,1
HH-07597,Nyabihu,-1.603169,29.504712,2024-06-13,5.0,8.2,2.3,2624,37.0,35.1,39.5,37.3,40.1,32.9,36.98333333333333,-3.510162601626016,1
